update,transitions,high_reward_mean,high_reward_sum,duration_mean,detected_targets_mean,visited_targets_mean,retired_agents_mean,success_rate,entropy_reduction_mean,actor_explore_actions,actor_target_actions,actor_invalid_actions,actor_nonfinite_logits,actor_valid_target_actions,policy_loss,value_loss,entropy,approx_kl,clip_fraction
71,1143,1.4424610137939453,1648.73291015625,11.415573120117188,1.84375,1.59375,1.59375,0.046875,2434.006591796875,1033,110,0,0,110,0.002966633066534996,29.750722885131836,1.4155491590499878,0.00036185747012495995,0.0008630405645817518
72,1000,1.9358924627304077,1935.892333984375,12.515999794006348,2.046875,1.796875,1.796875,0.109375,2442.31005859375,879,121,0,0,121,0.0004224929725751281,42.92583465576172,1.401929259300232,4.1101895476458594e-05,0.0
73,1023,2.0189647674560547,2065.40087890625,12.092864036560059,2.0,1.890625,1.890625,0.125,2416.72216796875,900,123,0,0,123,-0.0009418616537004709,43.02825164794922,1.4061453342437744,8.306848030770198e-05,0.0004887590184807777
74,985,2.0874688625335693,2056.15673828125,12.213197708129883,2.078125,1.875,1.875,0.140625,2351.908935546875,862,123,0,0,123,-0.0010444347281008959,44.162086486816406,1.395689845085144,0.00024521941668353975,0.0013012230629101396
75,1079,1.6948776245117188,1828.77294921875,11.77386474609375,2.0625,1.71875,1.71875,0.078125,2436.096923828125,962,117,0,0,117,0.012609947472810745,36.240840911865234,1.4110641479492188,0.00027216807939112186,0.00032552084303461015
76,1034,2.020634651184082,2089.336181640625,11.98646068572998,2.0625,1.875,1.875,0.1875,2413.343017578125,911,123,0,0,123,-0.0471937395632267,46.63820266723633,1.4255609512329102,0.00010191265027970076,0.0
77,1042,1.934053659439087,2015.283935546875,12.097888946533203,2.0,1.828125,1.828125,0.15625,2410.61376953125,922,120,0,0,120,0.013053071685135365,41.03495788574219,1.3978514671325684,7.201573316706344e-05,0.0
78,1021,1.9098361730575562,1949.9427490234375,12.309500694274902,2.015625,1.796875,1.796875,0.125,2497.013671875,904,117,0,0,117,-3.326241858303547e-05,40.64801788330078,1.4179445505142212,6.712759204674512e-05,0.0
79,1002,1.9720317125320435,1975.975830078125,12.259481430053711,2.15625,1.8125,1.8125,0.125,2342.496826171875,881,121,0,0,121,-0.0002745455130934715,42.85907745361328,1.407694935798645,1.0655156074790284e-05,0.0
80,993,2.0407049655914307,2026.4200439453125,12.10070514678955,2.140625,1.859375,1.859375,0.109375,2365.62890625,872,121,0,0,121,-0.0007501930231228471,41.593780517578125,1.4045346975326538,2.6929799787467346e-05,0.0
